Temperature T (C);Density (kg/m3);Specific Heat cp (J/kgK);Thermal Conductivity k (W/mK);Thermal Diffusivity (m2/s);Dynamic Viscosity (kg/ms);Kinematic Viscosity (m2/s);Prandtl Number Pr
-150;2,866;983;0,01171;4,158E-06;8,636E-06;3,013E-06;0,7246
-100;2,038;966;0,01582;8,036E-06;1,189E-05;5,837E-06;0,7263
-50;1,582;999;0,01979;1,252E-05;1,474E-05;9,319E-06;0,7440
-40;1,514;1002;0,02057;1,356E-05;1,527E-05;1,008E-05;0,7436
-30;1,451;1004;0,02134;1,465E-05;1,579E-05;1,087E-05;0,7425
-20;1,394;1005;0,02211;1,578E-05;1,63E-05;1,169E-05;0,7408
-10;1,341;1006;0,02288;1,696E-05;1,68E-05;1,252E-05;0,7387
0;1,292;1006;0,02364;1,818E-05;1,729E-05;1,338E-05;0,7362
5;1,269;1006;0,02401;1,88E-05;1,754E-05;1,382E-05;0,7350
10;1,246;1006;0,02439;1,944E-05;1,778E-05;1,426E-05;0,7336
15;1,225;1007;0,02476;2,009E-05;1,802E-05;1,47E-05;0,7323
20;1,204;1007;0,02514;2,074E-05;1,825E-05;1,516E-05;0,7309
25;1,184;1007;0,02551;2,141E-05;1,849E-05;1,562E-05;0,7296
30;1,164;1007;0,02588;2,208E-05;1,872E-05;1,608E-05;0,7282
35;1,145;1007;0,02625;2,277E-05;1,895E-05;1,655E-05;0,7268
40;1,127;1007;0,02662;2,346E-05;1,918E-05;1,702E-05;0,7255
45;1,109;1007;0,02699;2,416E-05;1,941E-05;1,75E-05;0,7241
50;1,092;1007;0,02735;2,487E-05;1,963E-05;1,798E-05;0,7228
60;1,059;1007;0,02808;2,632E-05;2,008E-05;1,896E-05;0,7202
70;1,028;1007;0,02881;2,78E-05;2,052E-05;1,995E-05;0,7177
80;0,9994;1008;0,02953;2,931E-05;2,096E-05;2,097E-05;0,7154
90;0,9718;1008;0,03024;3,086E-05;2,139E-05;2,201E-05;0,7132
100;0,9458;1009;0,03095;3,243E-05;2,181E-05;2,306E-05;0,7111
120;0,8977;1011;0,03235;3,565E-05;2,264E-05;2,522E-05;0,7073
140;0,8542;1013;0,03374;3,898E-05;2,345E-05;2,745E-05;0,7041
160;0,8148;1016;0,03511;4,241E-05;2,42E-05;2,975E-05;0,7014
180;0,7788;1019;0,03646;4,593E-05;2,504E-05;3,212E-05;0,6992
200;0,7459;1023;0,03779;4,954E-05;2,577E-05;3,455E-05;0,6974
250;0,6746;1033;0,04104;5,89E-05;2,76E-05;4,091E-05;0,6946
300;0,6158;1044;0,04418;6,871E-05;2,934E-05;4,765E-05;0,6935
350;0,5664;1056;0,04721;7,892E-05;3,101E-05;5,475E-05;0,6937
400;0,5243;1069;0,05015;8,951E-05;3,261E-05;6,219E-05;0,6948
450;0,4880;1081;0,05298;1,004E-04;3,415E-05;6,997E-05;0,6965
500;0,4565;1093;0,05572;1,117E-04;3,563E-05;7,806E-05;0,6986
600;0,4042;1115;0,06093;1,352E-04;3,846E-05;9,515E-05;0,7037
700;0,3627;1135;0,06581;1,598E-04;4,111E-05;1,133E-04;0,7092
800;0,3289;1153;0,07037;1,855E-04;4,362E-05;1,326E-04;0,7149
900;0,3008;1169;0,07465;2,122E-04;4,6E-05;1,529E-04;0,7206
1000;0,2772;1184;0,07868;2,398E-04;4,826E-05;1,741E-04;0,7260
1500;0,1990;1234;0,09599;3,908E-04;5,817E-05;2,922E-04;0,7478
2000;0,1553;1264;0,11113;5,664E-04;6,63E-05;4,27E-04;0,7539